trait	fam	size	corr
228	Acoustic_Max_Pressure_BLUP	GaPL	180	0.540410594100788
229	Acoustic_Max_Pressure_BLUP	GaPL	190	0.574913048482576
230	Acoustic_Max_Pressure_BLUP	GaPL	200	0.525378979053559
231	Acoustic_Max_Pressure_BLUP	GaPL	210	0.606031651527367
232	Acoustic_Max_Pressure_BLUP	GDFj	10	0.0945376052308553
233	Acoustic_Max_Pressure_BLUP	GDFj	20	-0.0878955343464453
234	Acoustic_Max_Pressure_BLUP	GDFj	30	0.325249486377193
235	Acoustic_Max_Pressure_BLUP	GDFj	40	0.297542306664979
236	Acoustic_Max_Pressure_BLUP	GDFj	50	0.178182469823648
237	Acoustic_Max_Pressure_BLUP	GDFj	60	0.311751454384061
238	Acoustic_Max_Pressure_BLUP	GDFj	70	0.453945293942259
239	Acoustic_Max_Pressure_BLUP	GDFj	80	0.462405592336989
240	Acoustic_Max_Pressure_BLUP	GDFj	90	0.444815952377581
241	Acoustic_Max_Pressure_BLUP	GDFj	100	0.446802535641904
242	Acoustic_Max_Pressure_BLUP	GDFj	110	0.486246889889557
243	Acoustic_Max_Pressure_BLUP	GDFj	120	0.439007977228631
244	Acoustic_Max_Pressure_BLUP	GDFj	130	0.43803271344199
245	Acoustic_Max_Pressure_BLUP	GDFj	140	0.418855888108609
246	Acoustic_Max_Pressure_BLUP	GDFj	150	0.425243785524084
247	Acoustic_Max_Pressure_BLUP	GDFj	160	0.459788745810911
248	Acoustic_Max_Pressure_BLUP	GDFj	170	0.333789705706552
249	Acoustic_Max_Pressure_BLUP	GDFj	180	0.335830834990644
250	Acoustic_Max_Pressure_BLUP	GDFj	190	0.280197733133936
251	Acoustic_Max_Pressure_BLUP	GDFj	200	0.265920906219971
252	Acoustic_Max_Pressure_BLUP	GDFj	210	0.278494352836095
253	Acoustic_Mean_Pressure_BLUP	FjDe	10	-0.0429991178183525
254	Acoustic_Mean_Pressure_BLUP	FjDe	20	0.225358019122651
255	Acoustic_Mean_Pressure_BLUP	FjDe	30	0.0331660908514669
256	Acoustic_Mean_Pressure_BLUP	FjDe	40	0.131852104160102
257	Acoustic_Mean_Pressure_BLUP	FjDe	50	0.173253453110462
258	Acoustic_Mean_Pressure_BLUP	FjDe	60	0.192914297472594
259	Acoustic_Mean_Pressure_BLUP	FjDe	70	0.290689174710617
260	Acoustic_Mean_Pressure_BLUP	FjDe	80	0.237434125048956
261	Acoustic_Mean_Pressure_BLUP	FjDe	90	0.265379063665311
262	Acoustic_Mean_Pressure_BLUP	FjDe	100	0.32656845966703
263	Acoustic_Mean_Pressure_BLUP	FjDe	110	0.300141755644949
264	Acoustic_Mean_Pressure_BLUP	FjDe	120	0.232923524054895
265	Acoustic_Mean_Pressure_BLUP	FjDe	130	0.156405698176126
266	Acoustic_Mean_Pressure_BLUP	FjDe	140	0.223594079513208
267	Acoustic_Mean_Pressure_BLUP	FjDe	150	0.150181447656023
268	Acoustic_Mean_Pressure_BLUP	FjDe	160	0.143104612559395
269	Acoustic_Mean_Pressure_BLUP	FjDe	170	0.143536078481743
270	Acoustic_Mean_Pressure_BLUP	FjDe	180	0.220414280184725
271	Acoustic_Mean_Pressure_BLUP	FjDe	190	0.189637062502436
272	Acoustic_Mean_Pressure_BLUP	FjDe	200	0.166512824806312
273	Acoustic_Mean_Pressure_BLUP	FjDe	210	0.191102296186034
274	Acoustic_Mean_Pressure_BLUP	FjPL	10	-0.180090627980851
275	Acoustic_Mean_Pressure_BLUP	FjPL	20	-0.0686652772769884
276	Acoustic_Mean_Pressure_BLUP	FjPL	30	-0.0504846513141257
277	Acoustic_Mean_Pressure_BLUP	FjPL	40	-0.0624698799518832
278	Acoustic_Mean_Pressure_BLUP	FjPL	50	0.00165131265616896
279	Acoustic_Mean_Pressure_BLUP	FjPL	60	-0.0161474170587036
280	Acoustic_Mean_Pressure_BLUP	FjPL	70	-0.0305849407129526
281	Acoustic_Mean_Pressure_BLUP	FjPL	80	0.0355410603397319
282	Acoustic_Mean_Pressure_BLUP	FjPL	90	0.0210662520421425
283	Acoustic_Mean_Pressure_BLUP	FjPL	100	0.00722902424395132
284	Acoustic_Mean_Pressure_BLUP	FjPL	110	-0.0193145080279265
285	Acoustic_Mean_Pressure_BLUP	FjPL	120	-0.0156094505803649
286	Acoustic_Mean_Pressure_BLUP	FjPL	130	0.039252048443303
287	Acoustic_Mean_Pressure_BLUP	FjPL	140	0.0089206495736524
288	Acoustic_Mean_Pressure_BLUP	FjPL	150	-0.0069721414610564
289	Acoustic_Mean_Pressure_BLUP	FjPL	160	-0.0237160070648326
290	Acoustic_Mean_Pressure_BLUP	FjPL	170	-0.0119182140022028
291	Acoustic_Mean_Pressure_BLUP	FjPL	180	-0.0152575510184645
292	Acoustic_Mean_Pressure_BLUP	FjPL	190	-0.0356441355456581
